Deformación por compresión;Esfuerzo de compresión
(mm/mm);(MPa)
0;0,08916
0;0,08977
0,00001;0,09082
0,00001;0,09194
0,00002;0,09308
0,00003;0,09662
0,00005;0,09885
0,00006;0,10081
0,00007;0,1039
0,00008;0,10701
0,00009;0,10642
0,00009;0,10998
0,0001;0,10946
0,00011;0,11157
0,00012;0,113
0,00012;0,11426
0,00013;0,11652
0,00014;0,11699
0,00015;0,11826
0,00015;0,12018
0,00016;0,12373
0,00017;0,12523
0,00018;0,12672
0,00019;0,12869
0,00019;0,13057
0,0002;0,13032
0,00021;0,13391
0,00022;0,13693
0,00023;0,13703
0,00023;0,14091
0,00024;0,14268
0,00025;0,1432
0,00026;0,145
0,00027;0,14863
0,00028;0,15092
0,00029;0,15395
0,0003;0,15771
0,0003;0,15513
0,00031;0,16689
0,00032;0,15852
0,00033;0,16272
0,00033;0,16716
0,00034;0,16895
0,00035;0,17127
0,00036;0,17283
0,00037;0,17731
0,00038;0,17955
0,00038;0,17937
0,00039;0,18275
0,0004;0,18784
0,00041;0,1909
0,00042;0,19419
0,00043;0,19655
0,00044;0,1981
0,00044;0,20286
0,00045;0,2029
0,00046;0,2066
0,00047;0,20597
0,00047;0,21248
0,00048;0,21365
0,00049;0,21182
0,0005;0,22126
0,00051;0,22392
0,00052;0,22748
0,00053;0,22822
0,00054;0,23295
0,00055;0,23314
0,00056;0,23796
0,00057;0,24078
0,00057;0,24771
0,00058;0,24813
0,00059;0,2525
0,00059;0,25427
0,0006;0,24966
0,00061;0,26026
0,00062;0,26325
0,00063;0,26651
0,00064;0,26852
0,00064;0,27214
0,00065;0,26548
0,00066;0,273
0,00067;0,26594
0,00067;0,27038
0,00068;0,27342
0,00069;0,27837
0,0007;0,29371
0,0007;0,28788
0,00071;0,2968
0,00072;0,29631
0,00073;0,29872
0,00074;0,30619
0,00075;0,30678
0,00076;0,31212
0,00077;0,31484
0,00077;0,31794
0,00078;0,32033
0,00079;0,32553
0,0008;0,32897
0,0008;0,33082
0,00081;0,33438
0,00082;0,338
0,00083;0,3427
0,00084;0,34215
0,00085;0,34714
0,00086;0,3514
0,00086;0,35496
0,00087;0,35739
0,00088;0,36014
0,00089;0,36244
0,0009;0,36734
0,00091;0,37048
0,00092;0,38397
0,00093;0,38091
0,00093;0,38138
0,00094;0,39118
0,00095;0,38607
0,00096;0,39057
0,00096;0,39353
0,00097;0,39993
0,00098;0,40017
0,00099;0,40857
0,001;0,41688
0,00101;0,41332
0,00102;0,4187
0,00103;0,42589
0,00103;0,42622
0,00104;0,42845
0,00105;0,4362
0,00106;0,43653
