Local Peak Maximum (Comp. extension 1 % Change) : HoraalLocal Peak Maximum (Comp. extension 1 % Change);0,00000;sec
Local Peak Maximum (Comp. extension 1 % Change) : CargaalLocal Peak Maximum (Comp. extension 1 % Change);0,00000;N
Local Peak Maximum (Comp. extension 1 % Change) : Extensión por compresiónalLocal Peak Maximum (Comp. extension 1 % Change);0,00000;mm
Local Peak Maximum (Comp. extension 1 % Change) : Esfuerzo de compresiónalLocal Peak Maximum (Comp. extension 1 % Change);0,00000;MPa

Hora;Extensión;Carga
(sec);(mm);(N)
0,00000;-0,00574;-80,74451
0,12800;-0,00610;-83,27013
0,15800;-0,00634;-85,89994
0,18400;-0,00658;-88,50879
0,20200;-0,00676;-91,34531
0,21600;-0,00694;-93,99235
0,23000;-0,00711;-96,63322
0,24400;-0,00729;-99,46229
0,25800;-0,00741;-102,09171
0,27200;-0,00759;-104,68735
0,28400;-0,00771;-107,20837
0,29600;-0,00783;-109,88889
0,30800;-0,00795;-112,63220
0,32200;-0,00807;-115,29793
0,33800;-0,00825;-118,09862
0,35200;-0,00837;-120,69807
0,36600;-0,00849;-123,22781
0,38400;-0,00861;-125,75518
0,40200;-0,00879;-128,45236
0,41800;-0,00891;-131,19194
0,43400;-0,00909;-133,71374
0,45000;-0,00921;-136,53361
0,46600;-0,00939;-139,07059
0,48200;-0,00951;-141,77335
0,49800;-0,00969;-144,51978
0,51200;-0,00981;-147,15419
0,52400;-0,00998;-149,75247
0,54200;-0,01016;-152,45473
0,55600;-0,01034;-155,12499
0,57000;-0,01046;-157,86837
0,58400;-0,01058;-160,48584
0,59600;-0,01070;-163,20408
0,61000;-0,01088;-165,94394
0,62400;-0,01100;-168,53752
0,63800;-0,01112;-171,23284
0,65200;-0,01124;-174,00463
0,66600;-0,01136;-176,62445
0,68400;-0,01148;-179,39409
0,70000;-0,01160;-181,91001
0,71400;-0,01172;-184,44885
0,73200;-0,01190;-187,13928
0,75600;-0,01208;-189,66069
0,77600;-0,01220;-192,22803
0,79600;-0,01238;-194,84324
0,81400;-0,01250;-197,66097
0,83200;-0,01262;-200,35265
0,85200;-0,01279;-203,07451
0,86800;-0,01291;-205,81370
0,88600;-0,01309;-208,51311
0,90600;-0,01321;-211,11227
0,92600;-0,01339;-213,83874
0,94400;-0,01351;-216,40949
0,96000;-0,01363;-219,08602
0,97400;-0,01375;-221,66118
0,99200;-0,01393;-224,41144
1,00800;-0,01405;-227,12564
1,02800;-0,01417;-229,78589
1,04400;-0,01435;-232,50943
1,06600;-0,01453;-235,12326
1,08600;-0,01465;-237,64800
1,10200;-0,01483;-240,31051
1,11600;-0,01495;-242,94248
1,13200;-0,01507;-245,53675
1,15000;-0,01519;-248,31579
1,16400;-0,01531;-251,09001
1,18000;-0,01543;-253,66638
1,20200;-0,01561;-256,41809
1,22600;-0,01578;-259,12740
1,24200;-0,01590;-261,63256
1,25800;-0,01602;-264,15701
1,28000;-0,01620;-266,90324
1,30200;-0,01638;-269,56175
1,32000;-0,01650;-272,38857
1,33800;-0,01668;-275,03138
1,35800;-0,01686;-277,68901
1,37600;-0,01698;-280,39089
1,39400;-0,01716;-282,90877
1,41200;-0,01734;-285,45721
1,43400;-0,01752;-288,12599
1,45800;-0,01776;-290,84294
1,47800;-0,01800;-293,42899
1,50800;-0,01824;-296,15005
1,53400;-0,01847;-298,72414
1,56400;-0,01871;-301,30548
1,59200;-0,01889;-303,82914
1,64400;-0,01931;-306,33772
1,68600;-0,01973;-308,97039
1,71200;-0,01997;-311,55818
1,74800;-0,02027;-314,16565
1,78600;-0,02069;-316,69198
1,81400;-0,02093;-319,34078
1,85400;-0,02129;-321,85426
1,90600;-0,02170;-324,53889
1,95000;-0,02206;-327,11788
1,99600;-0,02242;-329,68915
2,04400;-0,02278;-332,24795
2,08400;-0,02314;-334,76418
2,14200;-0,02356;-337,32094
2,18600;-0,02392;-339,91521
2,22400;-0,02421;-342,57860
2,27800;-0,02463;-345,13702
2,32600;-0,02499;-347,82107
2,36400;-0,02529;-350,36099
2,40000;-0,02559;-352,89612
2,45200;-0,02601;-355,52720
2,49200;-0,02631;-358,09129
2,54200;-0,02673;-360,69741
2,58600;-0,02708;-363,28677
2,63400;-0,02750;-365,84600
2,67200;-0,02786;-368,49440
2,70600;-0,02816;-371,00739
2,75000;-0,02858;-373,52419
2,78800;-0,02888;-376,15225
2,83400;-0,02924;-378,68256
2,88400;-0,02960;-381,19096
2,91600;-0,02989;-383,88842
2,96600;-0,03031;-386,43393
2,99800;-0,03061;-388,94350
3,03400;-0,03097;-391,45034
3,07200;-0,03133;-394,03704
3,10200;-0,03163;-396,66188
3,13200;-0,03187;-399,31331
3,18800;-0,03235;-401,84031
3,23200;-0,03270;-404,36182
3,27800;-0,03306;-406,96999
3,32200;-0,03342;-409,49513
3,36000;-0,03372;-412,06512
3,40000;-0,03402;-414,66299
3,45200;-0,03444;-417,18399
3,48200;-0,03468;-419,77866
3,53400;-0,03510;-422,37234
3,57400;-0,03540;-424,95290
3,61400;-0,03569;-427,55539
3,65200;-0,03605;-430,18372
3,69400;-0,03635;-432,77731
3,72800;-0,03665;-435,28499
3,77600;-0,03707;-437,93614
3,81000;-0,03731;-440,52904
3,85400;-0,03773;-443,08989
3,89600;-0,03809;-445,74784
3,93200;-0,03838;-448,26716
3,96800;-0,03874;-450,80222
4,00600;-0,03910;-453,36308
4,03800;-0,03934;-455,90173
4,08800;-0,03976;-458,48805
4,13600;-0,04012;-461,00398
4,17600;-0,04042;-463,63203
4,20600;-0,04066;-466,19731
4,24800;-0,04108;-468,82243
4,28400;-0,04137;-471,43586
4,31400;-0,04167;-473,95071
4,34200;-0,04197;-476,47646
4,37200;-0,04227;-478,99913
4,41400;-0,04263;-481,58201
4,45800;-0,04299;-484,11088
4,51400;-0,04341;-486,67863
4,55200;-0,04371;-489,25993
4,58600;-0,04401;-491,78107
4,65200;-0,04448;-494,31962
4,68000;-0,04472;-496,88234
4,72600;-0,04508;-499,44804
4,76200;-0,04538;-502,01635
4,80600;-0,04568;-504,52454
4,85000;-0,04604;-507,13164
4,89400;-0,04640;-509,68318
4,92800;-0,04670;-512,24241
4,97200;-0,04705;-514,81985
5,01400;-0,04735;-517,33456
5,05800;-0,04771;-519,95432
5,08400;-0,04795;-522,51192
5,12600;-0,04831;-525,04861
5,17200;-0,04873;-527,58218
5,19600;-0,04897;-530,22229
5,23800;-0,04933;-532,75465
5,27800;-0,04963;-535,33954
5,31800;-0,04998;-537,88736
5,35800;-0,05028;-540,45753
