Deformación por compresión;Esfuerzo de compresión
(mm/mm);(MPa)
0,01341;0,9645
0,01345;0,96848
0,01349;0,97222
0,01354;0,97624
0,01359;0,97896
0,01363;0,98143
0,01368;0,98561
0,01372;0,98887
0,01376;0,99159
0,0138;0,99515
0,01384;0,99726
0,01388;1,00145
0,01392;1,00443
0,01396;1,00644
0,014;1,01036
0,01405;1,01323
0,01409;1,01628
0,01414;1,01877
0,01418;1,02326
0,01423;1,02528
0,01427;1,02816
0,01431;1,02992
0,01434;1,03234
0,01438;1,03596
0,01443;1,04027
0,01447;1,04241
0,01451;1,04463
0,01455;1,04684
0,0146;1,05004
0,01464;1,05296
0,01468;1,05413
0,01473;1,05922
0,01478;1,05959
0,01482;1,06366
0,01486;1,06581
0,0149;1,0672
0,01494;1,06969
0,01498;1,07219
0,01502;1,07403
0,01506;1,07695
0,01511;1,08031
0,01515;1,08221
0,01519;1,08405
0,01524;1,0862
0,01529;1,08932
0,01533;1,09168
0,01537;1,09331
0,01541;1,09438
0,01545;1,09798
0,01549;1,10051
0,01553;1,10224
0,01557;1,10401
0,01561;1,10554
0,01565;1,10921
0,0157;1,11237
0,01574;1,11369
0,01579;1,11815
0,01584;1,11761
0,01588;1,12095
0,01591;1,12097
0,01595;1,12338
0,016;1,12606
0,01604;1,12812
0,01608;1,13302
0,01612;1,1354
0,01617;1,13892
0,01621;1,14027
0,01625;1,14308
0,01629;1,1465
0,01635;1,15237
0,01639;1,15326
0,01643;1,15529
0,01646;1,15781
0,01651;1,16272
0,01655;1,16546
0,01659;1,16785
0,01663;1,17193
0,01667;1,17662
0,01672;1,17913
0,01676;1,18185
0,0168;1,18516
0,01685;1,1898
0,0169;1,193
0,01693;1,1956
0,01697;1,1993
0,01702;1,20159
0,01706;1,20628
0,0171;1,20945
0,01714;1,21266
0,01717;1,21746
0,01722;1,2217
0,01727;1,22698
0,01731;1,22969
0,01735;1,23566
0,01741;1,24015
0,01745;1,24364
0,01748;1,24674
0,01752;1,24999
0,01756;1,25516
0,01761;1,26159
0,01765;1,26381
0,01769;1,26784
0,01773;1,27136
0,01777;1,27706
0,01781;1,27917
0,01785;1,2833
0,0179;1,28955
0,01796;1,29308
0,01799;1,29537
0,01803;1,29897
0,01807;1,30155
0,01811;1,30641
0,01816;1,31017
0,01819;1,31266
0,01823;1,31745
0,01828;1,3233
0,01833;1,32456
0,01836;1,32756
0,0184;1,33417
0,01846;1,33987
0,0185;1,34239
0,01854;1,34551
0,01858;1,34865
0,01862;1,35111
0,01867;1,35706
0,01871;1,36113
0,01874;1,36467
0,01879;1,36854
0,01883;1,37345
0,01888;1,37706
0,01892;1,38175
0,01897;1,38831
0,01901;1,39125
0,01905;1,39517
0,01909;1,40201
0,01913;1,40347
0,01917;1,4077
0,01922;1,41086
0,01925;1,41379
0,01929;1,42044
0,01934;1,42423
0,01938;1,42739
0,01942;1,43017
0,01947;1,43363
0,01952;1,44075
0,01956;1,44276
0,0196;1,44529
0,01964;1,44827
0,01968;1,45179
0,01972;1,45776
0,01976;1,45919
0,0198;1,46226
0,01985;1,46565
0,01989;1,46849
0,01993;1,47257
0,01997;1,47413
