Deformación por compresión;Esfuerzo de compresión
(mm/mm);(MPa)
0,01295;1,19648
0,01299;1,19793
0,01303;1,2017
0,01308;1,20695
0,01312;1,2105
0,01316;1,21425
0,01321;1,21864
0,01325;1,22005
0,01329;1,22227
0,01333;1,22848
0,01337;1,23107
0,01341;1,23455
0,01344;1,2371
0,01348;1,24102
0,01353;1,24484
0,01357;1,24758
0,01361;1,25029
0,01365;1,25231
0,0137;1,2586
0,01374;1,26002
0,01378;1,26186
0,01382;1,26669
0,01385;1,26709
0,01389;1,27269
0,01393;1,2758
0,01398;1,27684
0,01402;1,27913
0,01406;1,28419
0,0141;1,28474
0,01414;1,28727
0,01418;1,29167
0,01423;1,30594
0,01427;1,29578
0,01431;1,3218
0,01435;1,293
0,01439;1,32824
0,01443;1,33033
0,01447;1,31417
0,01451;1,31859
0,01455;1,31643
0,01459;1,32363
0,01463;1,31046
0,01468;1,35967
0,01472;1,35034
0,01476;1,35102
0,0148;1,35183
0,01483;1,35778
0,01488;1,35974
0,01491;1,34905
0,01496;1,34702
0,015;1,33957
0,01503;1,34135
0,01508;1,37188
0,01512;1,37157
0,01516;1,35956
0,0152;1,36774
0,01525;1,37422
0,01529;1,35044
0,01533;1,37724
0,01537;1,3717
0,0154;1,36429
0,01545;1,3678
0,01549;1,37288
0,01553;1,36626
0,01557;1,37332
0,01561;1,37076
0,01565;1,39142
0,0157;1,38171
0,01574;1,37301
0,01579;1,3791
0,01583;1,39782
0,01586;1,39145
0,0159;1,39313
0,01594;1,3981
0,01598;1,39999
0,01602;1,39115
0,01606;1,39659
0,0161;1,40133
0,01614;1,39452
0,01618;1,39842
0,01622;1,40094
0,01627;1,40645
0,01632;1,40583
0,01635;1,40175
0,01639;1,40708
0,01643;1,40735
0,01647;1,4067
0,01651;1,41401
0,01655;1,41037
0,01659;1,41302
0,01663;1,41462
0,01668;1,41595
0,01672;1,41677
0,01676;1,42138
0,0168;1,4214
0,01684;1,42123
0,01688;1,42402
0,01692;1,42522
0,01696;1,42741
0,017;1,43021
0,01704;1,42915
0,01708;1,42508
0,01712;1,42809
0,01717;1,42952
0,0172;1,4357
0,01725;1,43777
0,0173;1,4414
0,01734;1,44187
0,01738;1,44108
0,01741;1,44535
0,01745;1,44479
0,01749;1,44708
0,01753;1,44858
0,01757;1,44882
0,01761;1,45046
0,01766;1,45517
0,0177;1,44851
0,01774;1,4537
0,01778;1,45673
0,01783;1,45718
0,01787;1,45796
0,0179;1,45802
0,01794;1,44442
0,01798;1,43761
0,01802;1,44199
0,01806;1,44132
0,0181;1,43789
0,01815;1,44012
0,01819;1,44958
0,01823;1,44702
0,01827;1,43761
0,01832;1,44892
0,01836;1,45247
0,0184;1,44141
0,01844;1,44092
0,01847;1,45274
0,01851;1,4508
0,01855;1,44831
0,01859;1,43999
0,01863;1,4485
0,01868;1,46267
0,01872;1,4561
0,01876;1,48665
0,0188;1,48619
0,01885;1,48648
0,01889;1,48595
0,01893;1,48767
0,01896;1,49056
0,01901;1,48959
0,01905;1,49154
0,01909;1,48979
0,01912;1,4917
0,01917;1,49629
0,01921;1,50101
0,01925;1,48231
0,01929;1,48154
0,01934;1,50952
0,01939;1,50703
0,01942;1,50414
0,01946;1,50448
0,01949;1,48488
0,01953;1,50387
0,01957;1,5158
0,01961;1,5162
0,01965;1,51708
0,0197;1,51841
0,01974;1,51896
0,01978;1,52199
0,01982;1,52377
0,01987;1,52706
0,01991;1,52606
0,01995;1,52691
0,01999;1,52785
0,02003;1,52997
0,02007;1,53366
0,02011;1,53154
0,02014;1,52918
0,02018;1,53388
0,02023;1,52749
0,02027;1,52972
0,02031;1,53071
0,02036;1,53875
0,02041;1,53998
0,02044;1,53901
0,02048;1,53504
0,02052;1,53684
0,02056;1,53997
0,0206;1,54985
0,02064;1,54376
0,02068;1,54386
0,02072;1,55153
0,02076;1,55354
0,0208;1,5547
0,02085;1,56011
0,02089;1,56505
0,02093;1,55905
0,02097;1,55295
0,02101;1,55691
0,02105;1,57214
0,02109;1,56493
0,02113;1,57999
0,02117;1,5623
0,02121;1,56568
0,02125;1,56214
0,02129;1,56292
0,02133;1,5724
0,02139;1,577
0,02143;1,57763
0,02146;1,56838
0,0215;1,57202
0,02154;1,57474
0,02158;1,57332
0,02162;1,57813
0,02166;1,57868
0,0217;1,57853
0,02174;1,58026
0,02178;1,58213
0,02182;1,58088
0,02187;1,58669
0,02191;1,58767
0,02196;1,59719
0,02199;1,58692
0,02203;1,57979
0,02207;1,58737
0,02211;1,59338
0,02215;1,59301
0,02219;1,58693
0,02223;1,58887
0,02227;1,59618
0,02231;1,59479
0,02236;1,59964
0,02241;1,60203
0,02245;1,59934
0,02248;1,5944
0,02252;1,60144
0,02256;1,60311
0,0226;1,60462
0,02264;1,607
0,02268;1,60575
0,02272;1,59996
0,02276;1,6085
0,0228;1,61039
0,02284;1,62449
0,02289;1,62601
0,02294;1,6077
0,02298;1,6082
0,02302;1,6152
0,02305;1,61603
0,02309;1,61529
0,02313;1,61593
0,02317;1,61951
0,02321;1,6226
0,02325;1,62458
0,0233;1,62536
0,02333;1,62498
0,02337;1,62121
0,02342;1,62729
0,02347;1,63231
0,02351;1,63158
0,02355;1,63325
0,02358;1,6412
0,02362;1,63116
0,02366;1,63838
0,0237;1,63673
0,02374;1,63929
0,02378;1,64616
0,02383;1,64433
0,02387;1,6444
0,02391;1,64416
0,02396;1,64935
0,024;1,64798
0,02404;1,64612
0,02407;1,65081
0,02412;1,65076
0,02416;1,65508
0,02419;1,65432
0,02423;1,65495
0,02427;1,65543
0,02432;1,65694
0,02436;1,65588
0,0244;1,65994
0,02444;1,66043
0,02449;1,66272
0,02453;1,66322
0,02456;1,66299
