Extensión;Carga
-0,07354;-586,11184
-0,07426;-588,69361
-0,07468;-591,25591
-0,0751;-593,91013
-0,07575;-596,55411
-0,07611;-599,14174
-0,07641;-601,68253
-0,07701;-604,28521
-0,07779;-606,87419
-0,07814;-609,41204
-0,07868;-611,96443
-0,07916;-614,58647
-0,07958;-617,14607
-0,07988;-619,70255
-0,08042;-622,28721
-0,08149;-624,83349
-0,08203;-627,42815
-0,08245;-629,92978
-0,08287;-632,55364
-0,08317;-635,09755
-0,08377;-637,61268
-0,0843;-640,13684
-0,08472;-642,64652
-0,08544;-645,17222
-0,08622;-647,69699
-0,08652;-650,30437
-0,08693;-652,97051
-0,08765;-655,47861
-0,08837;-658,01824
-0,08891;-660,62813
-0,08933;-663,21027
-0,08968;-665,8243
-0,0901;-668,3426
-0,09046;-670,86262
-0,09178;-673,37719
-0,09249;-675,92585
-0,09285;-678,63036
-0,09315;-681,15746
-0,09369;-683,76032
-0,09417;-686,26078
-0,09465;-688,8513
-0,09536;-691,4027
-0,09608;-693,99988
-0,09662;-696,53206
-0,09722;-699,09166
-0,09764;-701,64031
-0,09823;-704,15172
-0,09913;-706,68785
-0,09973;-709,26016
-0,10009;-711,86088
-0,10051;-714,42127
-0,10092;-717,04607
-0,10224;-719,5957
-0,1032;-722,18743
-0,10356;-724,68864
-0,10403;-727,25257
-0,10445;-729,82977
-0,10475;-732,38667
-0,10559;-734,91824
-0,10654;-737,51505
-0,10714;-740,09229
-0,10762;-742,61543
-0,10822;-745,25219
-0,10858;-747,868
-0,10989;-750,4513
-0,11019;-753,03167
-0,11079;-755,54056
-0,11115;-758,14049
-0,11193;-760,7324
-0,11324;-763,23738
-0,11384;-765,83419
-0,11432;-768,38084
-0,1148;-770,93672
-0,11539;-773,54684
-0,11587;-776,0861
-0,11653;-778,64332
-0,11743;-781,17042
-0,1182;-783,70171
-0,11862;-786,23015
-0,1191;-788,76428
-0,12018;-791,28258
-0,12083;-793,84092
-0,12125;-796,39526
-0,12155;-798,91263
-0,12317;-800,96871
-0,12376;-803,47536
-0,12436;-806,08474
-0,12478;-808,59652
-0,12532;-811,22722
-0,12598;-813,73872
-0,12645;-816,30647
-0,12753;-818,81871
-0,12819;-821,32388
-0,12879;-824,00022
-0,12932;-826,56704
-0,13052;-829,12175
-0,13112;-831,63548
-0,13166;-834,18339
-0,13213;-836,74202
-0,13351;-839,24402
-0,13447;-841,79025
-0,13512;-844,30035
-0,1359;-846,87714
-0,13632;-849,51762
-0,1368;-852,02912
-0,13776;-854,54956
-0,13841;-857,0997
-0,13907;-859,60217
-0,13961;-862,10966
-0,14021;-864,62107
-0,14176;-867,20316
-0,14224;-869,83014
-0,14278;-872,3422
-0,14439;-874,24042
-0,14517;-876,80025
-0,14565;-879,36409
-0,14613;-881,89282
-0,14684;-884,51579
-0,1472;-887,01705
-0,14834;-889,544
-0,14912;-892,04758
-0,14953;-894,60406
-0,15013;-897,1462
-0,15175;-899,58264
-0,15234;-902,09814
-0,15288;-904,69299
-0,15366;-907,20914
-0,15503;-909,70937
-0,15599;-912,23568
-0,15677;-914,76729
-0,15725;-917,27758
-0,15832;-919,80956
-0,1591;-922,38085
-0,15952;-924,88155
-0,16006;-927,41102
-0,16083;-929,91143
-0,16239;-931,72649
-0,16281;-934,23594
-0,16329;-936,75554
-0,1637;-939,34145
-0,16538;-939,43793
-0,16616;-941,95837
-0,16681;-944,53292
-0,16711;-947,05448
-0,16777;-949,55573
-0,16914;-952,05661
-0,16962;-954,59698
-0,17022;-957,18028
-0,17058;-959,79646
-0,1713;-962,31746
-0,17285;-963,30605
-0,17339;-965,82063
-0,17369;-968,41631
-0,17435;-970,98881
-0,1759;-971,38677
-0,17674;-973,89324
-0,1774;-976,48436
-0,17799;-979,09803
-0,17859;-981,62042
-0,17937;-984,17383
-0,18033;-986,70907
-0,1811;-989,2744
-0,18272;-990,99251
-0,18349;-993,60002
-0,18385;-996,21052
-0,18445;-998,81208
-0,18612;-999,4912
-0,18702;-1002,03827
-0,18774;-1004,5452
-0,18834;-1007,09228
-0,18893;-1009,60294
-0,18995;-1012,10829
-0,19085;-1014,67418
-0,19127;-1017,34186
-0,19204;-1019,84739
-0,19372;-1021,3105
-0,19426;-1023,85087
-0,19473;-1026,38742
-0,19545;-1028,91196
-0,19701;-1028,39768
-0,19772;-1030,94745
-0,19838;-1033,46854
-0,19886;-1035,99187
-0,19958;-1038,5219
-0,20095;-1041,03079
-0,20155;-1043,58336
-0,20197;-1046,09635
-0,20364;-1048,11406
-0,20454;-1050,67128
-0,20508;-1053,21994
-0,20675;-1054,65734
-0,20825;-1057,03352
-0,20873;-1059,61813
-0,20932;-1062,12506
-0,20992;-1064,64121
-0,2113;-1067,20254
-0,21201;-1069,85085
-0,21303;-1072,40342
-0,2147;-1074,67202
-0,21512;-1077,25197
-0,21566;-1079,78145
-0,21728;-1077,80406
-0,21811;-1080,35794
-0,21865;-1082,86347
-0,21925;-1085,38214
-0,21991;-1087,97429
-0,2214;-1090,26581
-0,22206;-1092,80087
-0,22266;-1095,42254
-0,22385;-1097,92538
-0,22535;-1100,4732
-0,22582;-1103,05259
-0,2275;-1103,70461
-0,22869;-1106,25597
-0,22941;-1108,83433
-0,23031;-1111,37647
-0,2318;-1113,8889
-0,23258;-1116,41381
-0,23306;-1118,91665
-0,23384;-1121,44509
-0,23551;-1123,38858
-0,23617;-1125,9553
-0,23683;-1128,50918
-0,23808;-1126,00466
-0,23904;-1128,51486
-0,23964;-1131,13513
-0,24047;-1133,64048
-0,24155;-1136,16977
-0,24263;-1138,67437
-0,2434;-1141,21493
-0,24412;-1143,74794
-0,24573;-1145,63424
-0,24645;-1148,16464
-0,24711;-1150,79237
-0,24872;-1150,54725
-0,24974;-1153,2357
-0,25052;-1155,75939
-0,25118;-1158,26717
-0,25255;-1160,77838
-0,25345;-1163,413
-0,25399;-1165,98317
-0,25566;-1166,27263
-0,25638;-1168,81086
-0,25698;-1171,34145
-0,25751;-1174,00214
-0,25805;-1176,5141
-0,25919;-1173,9796
-0,26002;-1176,50097
-0,26104;-1179,01964
-0,2617;-1181,56616
-0,26325;-1183,47341
-0,26397;-1186,03399
-0,26433;-1188,58991
-0,26505;-1191,13065
-0,26666;-1191,05252
-0,2672;-1193,63507
-0,26798;-1196,16836
-0,26959;-1196,88893
-0,27097;-1199,44578
-0,27174;-1201,95951
-0,27264;-1204,53034
-0,27342;-1207,03215
-0,27467;-1209,57019
-0,27533;-1212,10255
-0,27694;-1212,27903
-0,27766;-1214,8425
-0,27814;-1217,39581
-0,27987;-1217,61458
-0,28125;-1220,1705
-0,28215;-1222,70361
-0,28274;-1225,20374
-0,28376;-1227,72865
-0,28514;-1230,26222
-0,28573;-1232,81786
-0,28735;-1233,45535
-0,28819;-1236,08587
-0,2889;-1238,66051
-0,29058;-1238,86224
-0,29189;-1241,39739
-0,29261;-1243,91932
-0,29363;-1246,42961
-0,29458;-1248,93617
-0,29554;-1251,45223
-0,29691;-1253,96838
-0,29859;-1256,48528
-0,29907;-1258,99948
-0,3008;-1258,3469
-0,30188;-1260,89631
-0,30265;-1263,44031
-0,30361;-1265,99865
-0,30463;-1268,50381
-0,306;-1271,02314
-0,30768;-1273,00108
-0,30911;-1275,5054
-0,30959;-1278,08852
-0,3112;-1278,7587
-0,31258;-1281,33083
-0,31348;-1283,87865
-0,31509;-1285,77715
-0,31605;-1288,29405
-0,31682;-1290,82352
-0,31838;-1292,65338
-0,31952;-1295,22085
-0,32017;-1297,73933
-0,32185;-1296,65118
-0,32316;-1299,21669
-0,324;-1301,76144
-0,32484;-1304,35349
-0,32645;-1306,47793
-0,32711;-1309,01802
-0,32878;-1310,72178
-0,3298;-1313,22891
-0,33076;-1315,78455
-0,33243;-1315,31022
-0,3338;-1317,89371
-0,33476;-1320,45923
-0,33572;-1322,97538
-0,33727;-1325,19305
-0,33793;-1327,72364
-0,3396;-1328,76234
-0,3405;-1331,31295
-0,34104;-1333,82278
-0,34265;-1331,6012
-0,34373;-1334,14865
-0,34451;-1336,68082
-0,3451;-1339,19977
-0,34666;-1341,70642
-0,34803;-1344,27119
-0,34887;-1346,80253
-0,35055;-1347,5867
-0,3512;-1350,14942
-0,35294;-1351,04479
-0,35449;-1351,8814
-0,35539;-1354,41907
-0,35599;-1356,92935
-0,35754;-1359,48146
-0,3585;-1362,05675
-0,35951;-1364,59991
-0,36119;-1364,775
-0,36185;-1367,33614
-0,36244;-1369,85891
-0,3634;-1367,28361
-0,3649;-1369,49699
-0,36561;-1372,0437
-0,36657;-1374,55631
-0,36753;-1377,07945
-0,3689;-1379,61945
-0,36974;-1382,17825
-0,37141;-1382,48028
-0,37219;-1385,02261
-0,37386;-1385,78601
-0,37542;-1387,27557
-0,37661;-1389,82264
-0,37781;-1392,36068
-0,37901;-1394,86585
-0,37948;-1397,3698
-0,38122;-1397,38824
-0,38247;-1399,9369
-0,38289;-1402,4741
-0,38451;-1400,0888
-0,38582;-1402,65236
-0,38654;-1405,17242
-0,38732;-1407,74176
-0,38887;-1408,72253
-0,38935;-1411,27035
-0,38995;-1413,83316
-0,39156;-1413,69058
-0,39276;-1416,1922
-0,39341;-1418,69895
-0,39509;-1418,08009
-0,39658;-1420,33221
-0,39748;-1422,90508
-0,39909;-1424,88191
-0,39969;-1427,42861
-0,40047;-1429,97568
-0,40214;-1428,60087
-0,40286;-1431,14636
-0,40352;-1433,66558
-0,40394;-1436,22719
-0,40525;-1433,69073
-0,40681;-1435,52842
-0,40764;-1438,03786
-0,40872;-1440,54191
-0,41028;-1442,11678
-0,41075;-1444,64308
-0,41243;-1446,95239
-0,41374;-1449,52573
-0,4144;-1452,05632
-0,41596;-1449,53746
-0,41727;-1452,10223
-0,41847;-1454,65788
-0,41936;-1457,16378
-0,42104;-1459,76571
-0,4217;-1462,27404
-0,42337;-1461,33322
-0,42409;-1463,87517
-0,4248;-1466,45745
-0,42642;-1464,75136
-0,42797;-1467,33094
-0,42905;-1469,84588
-0,43031;-1472,37098
-0,43168;-1474,9283
-0,43329;-1475,33752
-0,43437;-1477,86187
-0,43485;-1480,42031
-0,43551;-1482,92314
-0,43646;-1480,3702
-0,43802;-1480,09835
-0,43844;-1482,68146
-0,43963;-1485,21448
-0,44119;-1487,7094
-0,44202;-1490,25535
-0,4437;-1490,85457
-0,44483;-1493,4306
-0,44561;-1495,96911
-0,44711;-1493,46665
-0,44842;-1495,96948
-0,44932;-1498,48247
-0,45093;-1500,30926
-0,45219;-1502,84218
-0,45314;-1505,36224
-0,45476;-1506,34144
-0,45536;-1508,86811
-0,45643;-1511,43046
-0,45733;-1508,90062
-0,45769;-1506,29757
-0,45859;-1508,83095
-0,45912;-1511,35875
-0,46008;-1513,90117
-0,46163;-1515,47017
-0,46271;-1518,08821
-0,46325;-1520,62001
-0,46486;-1520,70615
-0,46594;-1523,24298
-0,46684;-1525,79127
-0,46821;-1523,23833
-0,46983;-1525,21906
-0,47078;-1527,73159
-0,4724;-1529,65635
-0,47329;-1532,20454
-0,47389;-1534,71641
-0,47545;-1533,73871
-0,47646;-1536,27796
-0,47688;-1538,78862
-0,4785;-1536,86553
-0,48005;-1538,14629
-0,48095;-1540,65304
-0,48244;-1542,51857
-0,48346;-1545,03705
-0,48424;-1547,56019
-0,48591;-1547,7079
-0,48675;-1550,20794
-0,48848;-1550,54629
-0,49009;-1552,27752
-0,49129;-1554,81994
-0,49284;-1556,43402
-0,4938;-1558,94663
-0,49548;-1560,3398
-0,49679;-1562,87905
-0,49757;-1565,46179
-0,49924;-1565,04419
-0,5008;-1565,33457
-0,50175;-1567,83462
-0,50337;-1569,36552
-0,50444;-1571,90021
-0,50528;-1574,40249
-0,5069;-1575,19691
-0,50779;-1577,80312
-0,50845;-1580,30596
-0,50947;-1577,79846
-0,51102;-1578,20303
-0,51168;-1580,72505
-0,51275;-1583,24037
-0,51437;-1585,58171
-0,51533;-1588,10932
-0,51694;-1587,61218
-0,51808;-1590,14836
-0,51849;-1592,74321
-0,52011;-1591,0957
-0,52166;-1593,59816
-0,52322;-1596,12056
-0,52483;-1598,57478
-0,52597;-1601,08153
-0,52758;-1600,57824
-0,5283;-1603,11311
-0,52884;-1605,74727
-0,53045;-1603,38152
-0,53183;-1605,91528
-0,53302;-1608,43637
-0,53458;-1610,71084
-0,53577;-1613,26155
-0,53745;-1613,31035
-0,53864;-1615,87633
-0,53918;-1618,42071
-0,54092;-1616,6212
-0,54241;-1617,78498
-0,54331;-1620,30999
-0,54414;-1622,8525
-0,54576;-1624,42978
-0,54713;-1626,97174
-0,54887;-1628,13421
-0,54988;-1630,69926
-0,5515;-1628,78484
-0,55305;-1631,11091
-0,55407;-1633,68806
-0,55568;-1635,83886
-0,55682;-1638,36554
-0,55849;-1639,83982
-0,55993;-1642,39034
-0,5616;-1641,49776
-0,56316;-1642,42219
-0,56405;-1644,94812
-0,56525;-1647,46065
-0,5668;-1648,2573
-0,56758;-1650,86314
-0,56932;-1652,449
-0,57057;-1655,0228
-0,57231;-1653,63234
-0,5738;-1654,70541
-0,5747;-1657,22556
-0,57589;-1659,72952
-0,57751;-1661,52492
-0,5784;-1664,08848
-0,58008;-1664,5005
-0,58115;-1667,03388
-0,58283;-1665,96062
-0,58432;-1666,9007
-0,58528;-1669,44768
-0,58588;-1671,97958
-0,58749;-1672,60394
-0,58845;-1675,18258
-0,59006;-1674,60535
-0,59102;-1677,19591
-0,59162;-1679,76562
-0,59329;-1678,22987
-0,59485;-1680,113
-0,5964;-1682,63931
-0,59795;-1684,50139
-0,59879;-1687,01392
-0,60047;-1686,73117
-0,60184;-1689,26101
-0,6022;-1691,8594
-0,60381;-1689,45733
-0,60537;-1690,52333
-0,60597;-1693,03399
-0,60752;-1694,73793
-0,60866;-1697,31043
-0,6092;-1699,81476
-0,61087;-1698,88027
-0,61212;-1701,46096
-0,61284;-1704,00795
-0,61416;-1701,44364
-0,61565;-1702,1656
-0,61673;-1704,71966
-0,61834;-1707,13086
-0,61936;-1709,66219
-0,62103;-1710,49144
-0,62283;-1713,00136
-0,62325;-1715,52282
-0,6245;-1713,00005
-0,626;-1712,72121
-0,62677;-1715,22796
-0,62791;-1717,73192
-0,62946;-1718,65504
-0,62994;-1721,18228
-0,63072;-1723,76484
-0,63239;-1723,36455
-0,63317;-1725,93091
-0,6349;-1723,72535
-0,63646;-1724,89807
-0,63736;-1727,43406
-0,63891;-1729,36078
-0,64029;-1731,9588
-0,64196;-1732,88267
-0,64316;-1735,46355
-0,64387;-1737,97887
-0,64525;-1735,47138
-0,64674;-1734,83808
-0,64782;-1737,35414
-0,64937;-1739,31923
-0,65027;-1741,85168
-0,65099;-1744,35265
-0,6526;-1743,88178
-0,6538;-1746,39914
-0,65422;-1748,90887
-0,65577;-1746,34885
-0,65727;-1746,16203
-0,6581;-1748,66375
-0,65972;-1750,68043
-0,66091;-1753,22201
-0,66211;-1755,75856
-0,66378;-1757,05384
-0,6645;-1759,6012
-0,66623;-1757,04956
-0,66779;-1757,36323
-0,66845;-1759,94039
-0,67006;-1761,71716
-0,67168;-1763,22348
-0,67221;-1765,7306
-0,67389;-1765,80586
-0,67443;-1768,35172
-0,67514;-1770,94191
-0,67664;-1768,38767
-0,677;-1765,8744
-0,67795;-1768,37686
-0,67891;-1770,90149
-0,68046;-1771,94383
-0,68148;-1774,44462
-0,68238;-1776,94671
-0,68405;-1776,20798
-0,68519;-1778,72796
-0,68579;-1781,33585
-0,68746;-1778,95837
-0,68901;-1781,47014
-0,69063;-1783,11523
-0,6923;-1785,58584
-0,69272;-1788,14512
-0,69434;-1787,03889
-0,69553;-1789,56445
-0,69613;-1792,06841
-0,6978;-1789,54173
-0,69936;-1791,78808
-0,70008;-1794,35275
-0,70163;-1795,13954
-0,70271;-1797,73998
-0,70348;-1800,25361
-0,70516;-1799,1906
-0,70582;-1801,73349
-0,70761;-1802,77955
-0,70874;-1800,26665
-0,71018;-1802,8168
-0,71173;-1805,38576
-0,71281;-1807,913
-0,71413;-1810,45402
-0,71574;-1810,15208
-0,71676;-1812,65287
-0,71843;-1811,93389
-0,71999;-1812,32244
-0,72118;-1814,85582
-0,7228;-1817,17724
-0,72387;-1819,70391
-0,72555;-1819,80301
-0,72668;-1822,33956
-0,72764;-1824,91634
-0,72919;-1822,39432
-0,73075;-1823,12634
-0,73164;-1825,64761
-0,73326;-1827,00865
-0,73433;-1829,5208
-0,73595;-1830,14981
-0,73738;-1832,67742
-0,7381;-1835,22049
-0,73924;-1832,69661
-0,74079;-1832,68413
-0,74181;-1835,25849
-0,74342;-1837,10419
-0,74492;-1839,61596
-0,74653;-1839,82737
-0,74767;-1842,371
-0,74809;-1844,95486
-0,7497;-1842,51703
-0,75126;-1843,26116
-0,75245;-1845,80628
-0,75407;-1847,75889
-0,75532;-1850,29767
-0,75694;-1849,92403
-0,75819;-1852,444
-0,75891;-1854,98726
-0,76052;-1852,52782
-0,76208;-1853,66645
-0,76285;-1856,1732
-0,76447;-1857,71883
-0,76602;-1860,23992
-0,7677;-1860,81771
-0,76895;-1863,32371
-0,77057;-1863,29708
-0,77212;-1863,32334
-0,77326;-1865,8746
-0,77487;-1867,02888
-0,77613;-1869,58648
-0,77708;-1872,12769
-0,77882;-1872,00904
-0,77948;-1874,51039
-0,78109;-1872,7662
-0,78264;-1872,6334
-0,78342;-1875,13344
-0,78504;-1876,94728
-0,78671;-1879,22716
-0,78844;-1881,23416
-0,7903;-1883,38179
-0,79191;-1881,81195
-0,79341;-1882,25638
-0,79394;-1884,77021
-0,79556;-1886,62205
-0,79717;-1889,1871
-0,79885;-1889,90049
-0,80022;-1892,49963
-0,80112;-1895,03301
-0,80196;-1892,5067
-0,80351;-1891,91718
-0,80465;-1894,43715
-0,80626;-1896,37318
-0,80758;-1898,90545
-0,80823;-1901,43529
-0,80901;-1898,88068
-0,81039;-1901,40586
-0,81093;-1903,97482
-0,8126;-1901,93299
-0,81415;-1901,6929
-0,81541;-1904,24081
-0,81696;-1904,58558
-0,8175;-1907,13536
-0,81816;-1909,66278
-0,81977;-1908,65379
-0,82079;-1911,21586
-0,82157;-1913,73117
-0,82276;-1911,16054
-0,82426;-1910,80682
-0,82557;-1913,33741
-0,82713;-1914,98771
-0,82814;-1917,54997
-0,82892;-1920,07348
-0,83012;-1917,50806
-0,83131;-1920,06417
-0,83185;-1922,56998
-0,83353;-1921,09104
-0,83508;-1920,25378
-0,83616;-1922,78828
-0,83771;-1925,29336
-0,83897;-1927,79619
-0,84058;-1926,78329
-0,84172;-1929,36566
-0,84219;-1931,94356
-0,84387;-1929,93432
-0,84536;-1929,53125
-0,84638;-1932,03185
-0,84787;-1933,68848
-0,84919;-1936,30848
-0,85033;-1938,86142
-0,85206;-1939,20452
-0,8526;-1941,77087
-0,85403;-1939,22762
-0,85559;-1938,11916
-0,85642;-1940,64006
-0,85786;-1943,1401
-0,85953;-1945,43954
-0,86121;-1946,18143
-0,86264;-1948,75989
-0,8636;-1951,29681
-0,8645;-1948,76883
-0,86569;-1946,25854
-0,86683;-1948,79044
-0,86743;-1951,29681
-0,86904;-1952,70404
-0,87024;-1955,23035
-0,87179;-1954,77717
-0,87281;-1957,35712
-0,87346;-1959,85958
-0,8749;-1957,29565
-0,87544;-1954,74587
-0,87681;-1957,25523
-0,87747;-1959,76011
-0,87903;-1960,56571
-0,87992;-1963,10729
-0,88124;-1965,62354
-0,88291;-1965,44398
-0,88345;-1967,98872
-0,88524;-1967,4005
-0,88554;-1964,87885
-0,8871;-1966,51965
-0,88853;-1969,05956
-0,89003;-1969,98715
-0,89098;-1972,49539
-0,89146;-1975,0068
-0,89314;-1974,1267
-0,89361;-1976,68634
-0,89439;-1979,30504
-0,89547;-1976,79717
-0,89595;-1974,21685
-0,89738;-1976,77128
-0,89894;-1979,29014
-0,90049;-1980,18011
-0,90121;-1982,74367
-0,90288;-1983,2626
-0,90467;-1985,34597
-0,90509;-1987,92946
-0,90635;-1985,39831
-0,90796;-1985,73135
-0,9094;-1988,25095
-0,91095;-1988,96807
-0,91203;-1991,56757
-0,91263;-1994,07171
-0,91346;-1991,49009
-0,9146;-1994,01528
-0,91514;-1996,57325
-0,91574;-1999,0772
-0,91651;-1996,47415
-0,91693;-1993,91413
-0,91849;-1994,93207
-0,91956;-1997,45968
-0,92112;-1997,83333
-0,92189;-2000,44345
-0,92249;-2002,99677
-0,92417;-2001,92276
-0,92542;-2004,45056
-0,92716;-2004,44758
-0,92871;-2004,93131
-0,93032;-2005,99339
-0,93188;-2008,52565
-0,93325;-2011,08754
-0,93487;-2010,59729
-0,93565;-2013,10124
-0,93642;-2015,67952
-0,93804;-2013,41696
-0,93953;-2013,24578
-0,94055;-2015,7598
-0,94216;-2017,47268
-0,94336;-2019,98763
-0,94497;-2019,93715
-0,94611;-2022,46346
-0,94701;-2024,98976
-0,9482;-2022,46532
-0,94976;-2022,63184
-0,95137;-2025,00727
-0,95304;-2027,56859
-0,95472;-2028,53717
-0,95645;-2030,45551
-0,95705;-2033,00063
-0,95831;-2030,47637
-0,9598;-2030,55814
-0,96082;-2033,09972
-0,96237;-2035,64335
-0,96411;-2037,86138
-0,96572;-2037,91112
-0,96715;-2040,46164
-0,96763;-2042,97118
-0,96871;-2040,39197
-0,97026;-2040,10066
-0,97176;-2042,6238
-0,97337;-2043,657
-0,97451;-2046,19188
-0,97612;-2046,31798
-0,97738;-2048,83814
-0,97786;-2051,3624
-0,97941;-2048,7871
-0,98097;-2048,8115
-0,98222;-2051,32216
-0,98384;-2052,97414
-0,98527;-2055,49579
-0,98689;-2056,45226
-0,98796;-2058,96646
-0,9897;-2058,63267
-0,99119;-2057,43033
-0,99245;-2059,94993
-0,9937;-2062,46171
-0,99538;-2064,27798
-0,99705;-2064,4201
-0,99831;-2066,98831
-0,9989;-2069,53194
-1,00016;-2067,00563
-1,00171;-2066,75064
-1,00291;-2069,32817
-1,00452;-2071,45028
-1,00614;-2073,98869
-1,00781;-2074,16937
-1,00889;-2076,66941
-1,01062;-2076,77595
-1,01212;-2074,46311
-1,01313;-2076,96389
-1,01379;-2079,48871
-1,01541;-2080,50814
-1,0166;-2083,016
-1,01827;-2082,44547
-1,01929;-2084,98575
-1,02103;-2084,06765
-1,02252;-2083,90243
-1,02378;-2086,4604
-1,02479;-2089,00515
-1,02653;-2090,55971
-1,02718;-2093,1052
-1,02886;-2091,37555
-1,02964;-2093,92924
-1,03125;-2092,51177
-1,0328;-2091,78291
-1,0334;-2094,28295
-1,03478;-2096,80814
-1,03633;-2097,15907
-1,03675;-2099,67475
-1,03848;-2100,71243
-1,04016;-2103,22738
-1,04189;-2102,16194
-1,04303;-2099,63676
-1,04398;-2102,15561
-1,04494;-2104,72383
-1,0465;-2104,92164
-1,04709;-2107,50122
-1,04763;-2110,01504
-1,04931;-2108,2744
-1,05068;-2110,77444
-1,05104;-2113,30745
-1,05236;-2110,76625
-1,05355;-2108,25764
-1,05493;-2110,77407
-1,05534;-2113,27765
-1,0569;-2115,38486
-1,05804;-2117,96798
-1,05965;-2116,49295
-1,06079;-2119,0118
-1,06138;-2121,57033
-1,063;-2118,99541
-1,06455;-2119,4404
-1,06617;-2121,52358
-1,06772;-2122,55642
-1,06844;-2125,08943
