Extensión;Carga
(mm);(N)
-0,0043;-96,43976
-0,0046;-99,12371
-0,00472;-101,72346
-0,00484;-104,27738
-0,00496;-106,88085
-0,00514;-109,72911
-0,00526;-112,6522
-0,00532;-115,1924
-0,00544;-117,78354
-0,00556;-120,44791
-0,00568;-123,4501
-0,00574;-126,02831
-0,00586;-128,57909
-0,00598;-131,54604
-0,0061;-134,37413
-0,00622;-137,06279
-0,00634;-139,85328
-0,00652;-142,87428
-0,00664;-145,94148
-0,00676;-148,91215
-0,00688;-151,88967
-0,007;-154,86954
-0,00711;-157,68
-0,00723;-160,24999
-0,00735;-162,85012
-0,00753;-165,36743
-0,00765;-167,96874
-0,00783;-170,61685
-0,00807;-173,30277
-0,00825;-175,80499
-0,00855;-178,33698
-0,00873;-180,89247
-0,00909;-183,53217
-0,00939;-186,03341
-0,00969;-188,58752
-0,0101;-191,1814
-0,01046;-193,7545
-0,01076;-196,42164
-0,01112;-198,99297
-0,01148;-201,5563
-0,0119;-204,15368
-0,01226;-206,76011
-0,01262;-209,35985
-0,01297;-211,87931
-0,01333;-214,43598
-0,01369;-216,99851
-0,01411;-219,50698
-0,01441;-222,0754
-0,01501;-224,59896
-0,01531;-227,1004
-0,01584;-229,66587
-0,01614;-232,2956
-0,0165;-234,92589
-0,0168;-237,42614
-0,01716;-240,01766
-0,01752;-242,55398
-0,01806;-245,06932
-0,01847;-247,63576
-0,01889;-250,14426
-0,01937;-252,68877
-0,01967;-255,28597
-0,01997;-257,84518
-0,02033;-260,44571
-0,02075;-263,06915
-0,02105;-265,67772
-0,02152;-268,25219
-0,02182;-270,8259
-0,02236;-273,34222
-0,02278;-275,85365
-0,0232;-278,42754
-0,02344;-281,08642
-0,0238;-283,68109
-0,02421;-286,20446
-0,02457;-288,75093
-0,02481;-291,35107
-0,02535;-293,88461
-0,02583;-296,3939
-0,02631;-298,98698
-0,02661;-301,69482
-0,02702;-304,24562
-0,02732;-306,88611
-0,02762;-309,42925
-0,02792;-311,96123
-0,02834;-314,49713
-0,02888;-317,01678
-0,0293;-319,55075
-0,02983;-322,10094
-0,03013;-324,61628
-0,03049;-327,17451
-0,03079;-329,68377
-0,03115;-332,19461
-0,03157;-334,81121
-0,03187;-337,42427
-0,03229;-339,95332
-0,03265;-342,53583
-0,03306;-345,09113
-0,03342;-347,69184
-0,03372;-350,34015
-0,03414;-352,86215
-0,03444;-355,51733
-0,03474;-358,06205
-0,03516;-360,63711
-0,03551;-363,17166
-0,03617;-365,67347
-0,03659;-368,2507
-0,03701;-370,87474
-0,03737;-373,51365
-0,03773;-376,03094
-0,03803;-378,68044
-0,03833;-381,19794
-0,03862;-383,75538
-0,03922;-386,3187
-0,03976;-388,82152
-0,04024;-391,32726
-0,04054;-393,90177
-0,0409;-396,46802
-0,04131;-398,99843
-0,04167;-401,58876
-0,04203;-404,24159
-0,04227;-406,78689
-0,04281;-409,30184
-0,04305;-411,89143
-0,04359;-414,42732
-0,04412;-416,9554
-0,04448;-419,53125
-0,04496;-422,13453
-0,0452;-424,63555
-0,0455;-427,14053
-0,0458;-429,6578
-0,04634;-432,24739
-0,04705;-434,76038
-0,04747;-437,26531
-0,04783;-439,92968
-0,04819;-442,55336
-0,04849;-445,06476
-0,04903;-447,57933
-0,04939;-450,13851
-0,04998;-452,72438
-0,0507;-455,2979
-0,051;-457,90724
-0,05142;-460,42688
-0,05172;-462,93084
-0,0522;-465,46697
-0,05255;-468,01656
-0,05285;-470,51683
-0,05345;-473,17473
-0,05387;-475,7449
-0,05417;-478,25049
-0,05471;-480,86275
-0,05507;-483,37318
-0,05548;-485,89087
-0,05584;-488,48907
-0,05626;-491,04355
-0,05692;-493,6296
-0,05752;-496,14105
-0,05788;-498,64911
-0,05829;-501,15017
-0,05859;-503,65394
-0,05889;-506,32716
-0,05937;-508,87479
-0,06015;-511,42401
-0,06057;-513,9241
-0,06116;-516,46745
-0,06158;-519,02174
-0,06212;-521,57645
-0,0626;-524,16795
-0,06296;-526,8441
-0,06326;-529,35905
-0,0638;-531,98677
-0,06421;-534,51136
-0,06463;-537,10542
-0,06505;-539,67615
-0,06553;-542,31253
-0,06595;-544,8984
-0,06637;-547,44841
-0,0669;-550,04694
-0,06738;-552,56211
-0,06822;-555,14518
-0,06846;-557,76844
-0,06894;-560,29223
-0,0693;-562,89472
-0,06959;-565,51346
-0,07001;-568,13275
-0,07097;-570,79853
-0,07133;-573,33931
-0,07199;-575,88797
-0,07246;-578,44361
-0,07294;-580,94449
-0,07324;-583,54777
