Local Peak Maximum (Comp. extension 1 % Change) : HoraalLocal Peak Maximum (Comp. extension 1 % Change);0,00000;sec
Local Peak Maximum (Comp. extension 1 % Change) : CargaalLocal Peak Maximum (Comp. extension 1 % Change);0,00000;N
Local Peak Maximum (Comp. extension 1 % Change) : Extensión por compresiónalLocal Peak Maximum (Comp. extension 1 % Change);0,00000;mm
Local Peak Maximum (Comp. extension 1 % Change) : Esfuerzo de compresiónalLocal Peak Maximum (Comp. extension 1 % Change);0,00000;MPa

Hora;Extensión;Carga
(sec);(mm);(N)
2,28000;-0,02565;-583,46214
2,29400;-0,02577;-585,98551
2,30800;-0,02589;-588,79042
2,32000;-0,02601;-591,38625
2,33200;-0,02607;-594,04024
2,34600;-0,02619;-596,59239
2,36200;-0,02631;-599,38123
2,37600;-0,02643;-602,01650
2,39200;-0,02655;-604,78821
2,41000;-0,02673;-607,44956
2,42400;-0,02679;-609,96050
2,44000;-0,02697;-612,76918
2,45400;-0,02702;-615,27602
2,47000;-0,02720;-617,78538
2,48600;-0,02732;-620,65353
2,50000;-0,02744;-623,54105
2,51400;-0,02756;-626,10963
2,52800;-0,02774;-628,99650
2,54000;-0,02786;-631,54306
2,55600;-0,02798;-634,42374
2,57000;-0,02810;-637,28858
2,58400;-0,02828;-639,91370
2,59600;-0,02834;-642,44196
2,60800;-0,02846;-645,21628
2,62200;-0,02858;-647,77704
2,64000;-0,02876;-650,33999
2,65800;-0,02888;-653,09778
2,68000;-0,02906;-655,61077
2,69800;-0,02918;-658,30755
2,71400;-0,02930;-660,92494
2,73200;-0,02948;-663,51565
2,74800;-0,02960;-666,06645
2,77000;-0,02978;-668,80248
2,78600;-0,02989;-671,34327
2,80200;-0,03001;-674,06800
2,82000;-0,03019;-676,81521
2,84000;-0,03037;-679,38166
2,86000;-0,03055;-682,03351
2,88000;-0,03073;-684,84182
2,89400;-0,03091;-687,65837
2,90800;-0,03103;-690,35073
2,92600;-0,03121;-692,98828
2,94200;-0,03133;-695,74979
2,95800;-0,03151;-698,33482
2,97800;-0,03163;-700,99942
2,99600;-0,03181;-703,52042
3,01600;-0,03199;-706,18931
3,03600;-0,03211;-708,80158
3,05200;-0,03229;-711,34632
3,07400;-0,03247;-713,90569
3,09600;-0,03265;-716,42906
3,11800;-0,03282;-719,14359
3,13800;-0,03294;-721,68792
3,15600;-0,03312;-724,19052
3,17400;-0,03324;-726,85820
3,19600;-0,03342;-729,42390
3,21800;-0,03360;-731,92553
3,24400;-0,03378;-734,49686
3,26400;-0,03396;-737,11462
3,28800;-0,03414;-739,73536
3,31000;-0,03432;-742,49371
3,33000;-0,03450;-745,13773
3,35800;-0,03468;-747,82972
3,38000;-0,03486;-750,41358
3,40200;-0,03504;-753,17961
3,42600;-0,03528;-755,95719
3,44600;-0,03540;-758,69970
3,47000;-0,03563;-761,31979
3,49200;-0,03581;-764,07604
3,51000;-0,03593;-766,61077
3,53600;-0,03611;-769,19054
3,56000;-0,03629;-771,74818
3,58000;-0,03647;-774,38690
3,60400;-0,03665;-776,91535
3,62600;-0,03683;-779,61655
3,64800;-0,03701;-782,35120
3,67200;-0,03719;-784,93198
3,69200;-0,03737;-787,43659
3,71400;-0,03755;-790,15652
3,74000;-0,03779;-792,82718
3,75800;-0,03797;-795,52373
3,78000;-0,03815;-798,22214
3,79800;-0,03833;-800,80209
3,81600;-0,03850;-803,39247
3,83400;-0,03868;-806,14574
3,85400;-0,03886;-808,82264
3,87800;-0,03904;-811,48781
3,90200;-0,03928;-814,22506
3,92400;-0,03940;-816,76776
3,95800;-0,03970;-819,41057
3,98800;-0,03994;-822,08356
4,00400;-0,04006;-824,73308
4,02600;-0,04024;-827,40001
4,05000;-0,04042;-829,95510
4,06800;-0,04060;-832,66962
4,08400;-0,04072;-835,24622
4,11200;-0,04102;-837,82384
4,12800;-0,04114;-840,47783
4,14400;-0,04131;-843,26640
4,16000;-0,04149;-845,96425
4,18200;-0,04167;-848,54523
4,20400;-0,04191;-851,15256
4,22200;-0,04209;-853,84892
4,24400;-0,04227;-856,57323
4,26200;-0,04245;-859,20971
4,28400;-0,04263;-861,71571
4,31400;-0,04287;-864,35713
4,33600;-0,04305;-866,88800
4,35800;-0,04323;-869,51591
4,39400;-0,04347;-872,13032
4,42400;-0,04371;-874,71362
4,44400;-0,04383;-877,24878
4,47200;-0,04406;-879,93508
4,49800;-0,04424;-882,44043
4,52400;-0,04448;-884,94383
4,54800;-0,04466;-887,62073
4,57000;-0,04484;-890,21111
4,59400;-0,04502;-892,80531
4,62200;-0,04526;-895,50791
4,64200;-0,04544;-898,08377
4,66200;-0,04562;-900,76188
4,69000;-0,04586;-903,36939
4,71800;-0,04604;-905,91358
4,74200;-0,04628;-908,43299
4,77400;-0,04652;-910,94719
4,80000;-0,04670;-913,52751
4,82800;-0,04687;-916,12414
4,85600;-0,04711;-918,66516
4,88200;-0,04729;-921,20571
4,90800;-0,04753;-923,78594
4,93400;-0,04771;-926,46340
4,96000;-0,04795;-929,08898
4,98400;-0,04819;-931,68151
5,00600;-0,04837;-934,26555
5,02800;-0,04861;-936,81971
5,04800;-0,04879;-939,46941
5,07400;-0,04903;-941,98743
5,09600;-0,04921;-944,52705
5,12200;-0,04945;-947,27669
5,15200;-0,04969;-949,89697
5,18600;-0,04992;-952,49536
5,21800;-0,05016;-954,99540
5,24400;-0,05040;-957,66541
5,27400;-0,05064;-960,17690
5,30000;-0,05088;-962,86163
5,32400;-0,05106;-965,39967
5,35400;-0,05130;-967,96788
5,38000;-0,05154;-970,59188
5,40200;-0,05178;-973,26292
5,42200;-0,05202;-975,96375
5,44400;-0,05220;-978,62007
5,47400;-0,05250;-981,21082
5,49200;-0,05267;-983,74262
5,51200;-0,05285;-986,29361
5,54000;-0,05309;-988,81349
5,56800;-0,05327;-991,44569
5,60200;-0,05357;-994,13944
5,63400;-0,05381;-996,71688
5,65800;-0,05399;-999,25790
5,68800;-0,05423;-1001,86765
5,72400;-0,05447;-1004,42385
5,75200;-0,05471;-1006,99384
5,78200;-0,05495;-1009,51232
5,81800;-0,05519;-1012,04338
5,84600;-0,05537;-1014,67129
5,87400;-0,05560;-1017,29706
5,90000;-0,05578;-1019,89312
5,93000;-0,05608;-1022,42529
5,96000;-0,05632;-1025,00347
5,99000;-0,05656;-1027,72973
6,01600;-0,05674;-1030,31956
6,04600;-0,05698;-1032,93201
6,08400;-0,05734;-1035,54679
6,11800;-0,05758;-1038,12795
6,14600;-0,05782;-1040,79805
6,17000;-0,05800;-1043,44105
6,20400;-0,05829;-1045,98403
6,23000;-0,05853;-1048,63839
6,25800;-0,05883;-1051,16703
6,28800;-0,05907;-1053,67238
6,31600;-0,05937;-1056,20753
6,34800;-0,05961;-1058,86208
6,37600;-0,05985;-1061,43681
6,41800;-0,06021;-1064,03334
6,46200;-0,06051;-1066,70149
6,48400;-0,06069;-1069,24130
6,51600;-0,06099;-1071,81184
6,54800;-0,06122;-1074,37167
6,57800;-0,06152;-1076,90971
6,60800;-0,06176;-1079,51807
6,63400;-0,06206;-1082,08908
6,66200;-0,06236;-1084,80100
6,68200;-0,06254;-1087,58071
6,70400;-0,06278;-1090,16150
6,73800;-0,06308;-1092,82974
6,76800;-0,06332;-1095,52722
6,82400;-0,06380;-1098,07942
6,86200;-0,06409;-1100,71814
6,89400;-0,06433;-1103,32277
6,92800;-0,06457;-1105,82691
6,97200;-0,06493;-1108,38478
7,00200;-0,06511;-1110,90187
7,03800;-0,06541;-1113,46887
7,06800;-0,06565;-1116,08179
7,10400;-0,06595;-1118,71501
